date,isin,count
2020-11-30,SPICHA,335
2020-11-30,CSPX,30
2020-11-30,BRK B,127
2020-11-30,ACWIA,144
2020-11-30,AUUSIUSD,285
2020-11-30,USD,4000
2020-11-30,EUR,41280
2020-11-30,CHF,244811
2021-02-28,CHF,270000
2021-05-31,immovision,15
2021-05-31,USD,4000
2021-05-31,EUR,41200
2021-05-31,CHF,170000
2021-08-31,EUR,40500
2021-08-31,CHF,190000
2021-11-30,USD,4000
2021-11-30,EUR,40280
2021-11-30,CHF,210000
2022-02-28,IMAE,190
2022-02-28,USD,4000
2022-02-28,EUR,26000
2022-02-28,CHF,262000
2022-05-31,AJEUAS,65
2022-05-31,LCJD,650
2022-05-31,USD,10348
2022-05-31,EUR,0.0001
2022-05-31,CHF,285453
2022-10-31,USD,10348
2022-10-31,EUR,0.0001
2022-10-31,CHF,299291.58
2022-12-31,USD,10351
2022-12-31,EUR,0.0001
2022-12-31,CHF,341257
2023-05-19,IMAE,332
2023-05-19,USD,10351
2023-05-19,EUR,0.0001
2023-05-19,CHF,355000
2023-11-10,AJEUAS,165
2023-11-10,CSPX,60
2023-11-10,SPICHA,535
2023-11-10,USD,10351
2023-11-10,EUR,0.0001
2023-11-10,CHF,340000
2023-12-29,CSPX,100
2023-12-29,SPICHA,685
2023-12-29,IMAE,612
2023-12-29,USD,3400
2023-12-29,EUR,20735
2023-12-29,CHF,285000
2024-03-08,SPICHA,825
2024-03-08,IMAE,742
2024-03-08,USD,3400
2024-03-08,EUR,20735
2024-03-08,CHF,285000
2024-05-15,SPICHA,965
2024-05-15,IE00B4L5Y983,200
2024-05-15,USD,1
2024-05-15,EUR,1
2024-05-15,CHF,330000
2024-08-02,CSPX,117
2024-08-02,SPICHA,1065
2024-08-02,IMAE,862
2024-08-02,USD,1
2024-08-02,EUR,1
2024-08-02,CHF,312000
2024-12-31,USD,19000
2024-12-31,EUR,1000
2024-12-31,CHF,330000
